date,state,total doses,first dose,second dose
2021-01-12,Dept of Defense,139439,131056,8383
2021-01-13,Dept of Defense,139993,131610,8383
2021-01-14,Dept of Defense,173015,159851,13164
2021-01-15,Dept of Defense,196950,179004,17946
2021-01-16,Dept of Defense,210133,191236,18897
2021-01-17,Dept of Defense,223318,203469,19849
2021-01-18,Dept of Defense,236502,215701,20801
2021-01-19,Dept of Defense,249687,227934,21753
2021-01-20,Dept of Defense,251710,229553,22157
2021-01-21,Dept of Defense,269006,243577,25429
2021-01-22,Dept of Defense,286887,258285,28602
2021-01-23,Dept of Defense,305858,274128,31730
2021-01-24,Dept of Defense,330380,296176,34204
2021-01-25,Dept of Defense,339864,304294,35570
2021-01-26,Dept of Defense,339864,304294,35570
2021-01-27,Dept of Defense,359097,318701,40396
2021-01-28,Dept of Defense,382188,335627,46561
2021-01-29,Dept of Defense,406566,353482,53084
2021-01-30,Dept of Defense,440744,381304,59440
2021-01-31,Dept of Defense,471878,404643,67235
2021-02-01,Dept of Defense,475828,407915,67913
2021-02-02,Dept of Defense,481078,412800,68278
2021-02-03,Dept of Defense,499631,424284,75347
2021-02-04,Dept of Defense,521392,436270,85122
2021-02-05,Dept of Defense,549790,452438,97352
2021-02-06,Dept of Defense,579048,468020,111028
2021-02-07,Dept of Defense,611677,486222,125455
2021-02-08,Dept of Defense,623114,495849,127265
2021-02-09,Dept of Defense,627545,498855,128690
2021-02-10,Dept of Defense,647499,511923,135576
2021-02-11,Dept of Defense,669390,525007,144383
2021-02-12,Dept of Defense,691536,536578,154958
2021-02-13,Dept of Defense,716035,548146,167889
2021-02-14,Dept of Defense,741420,561995,179425
2021-02-15,Dept of Defense,743014,562917,180097
2021-02-16,Dept of Defense,744609,563839,180770
2021-02-17,Dept of Defense,748789,566933,181856
2021-02-18,Dept of Defense,781093,580821,200272
2021-02-19,Dept of Defense,799601,590070,209531
2021-02-20,Dept of Defense,820308,601135,219173
2021-02-21,Dept of Defense,844118,610523,233595
2021-02-22,Dept of Defense,855282,617656,237626
2021-02-23,Dept of Defense,857708,618732,238976
2021-02-24,Dept of Defense,876360,626701,249659
2021-02-25,Dept of Defense,896516,635697,260819
2021-02-26,Dept of Defense,918112,645656,272456
2021-02-27,Dept of Defense,947157,661048,286109
2021-02-28,Dept of Defense,981968,678654,303314
2021-03-01,Dept of Defense,984274,680202,304072
2021-03-02,Dept of Defense,985338,680682,304656
2021-03-03,Dept of Defense,1007045,694151,312894
2021-03-04,Dept of Defense,1028967,706316,322651
2021-03-05,Dept of Defense,1054445,721060,333385
2021-03-06,Dept of Defense,1083722,738100,345622
2021-03-07,Dept of Defense,1119985,758512,361473
2021-03-08,Dept of Defense,1130993,765550,365443
2021-03-09,Dept of Defense,1304946,868701,436245
2021-03-10,Dept of Defense,1327997,885870,442127
2021-03-11,Dept of Defense,1358258,907822,450436
2021-03-12,Dept of Defense,1389245,928122,461123
2021-03-13,Dept of Defense,1418204,929473,488731
2021-03-14,Dept of Defense,1418202,929473,488729
2021-03-15,Dept of Defense,1451053,930223,520830
2021-03-16,Dept of Defense,1462674,937655,525019
2021-03-17,Dept of Defense,1487960,954481,533479
2021-03-18,Dept of Defense,1520571,975393,545178
2021-03-19,Dept of Defense,1552547,995086,557461
2021-03-20,Dept of Defense,1591923,1020715,571208
2021-03-21,Dept of Defense,1636692,1051954,584738
2021-03-22,Dept of Defense,1643487,1056044,587443
2021-03-23,Dept of Defense,1647241,1058047,589194
2021-03-24,Dept of Defense,1659489,1065778,593711
2021-03-25,Dept of Defense,1677817,1078078,599739
2021-03-26,Dept of Defense,1754025,1125876,628149
2021-03-27,Dept of Defense,1796889,1153904,642985
2021-03-28,Dept of Defense,1843889,1183172,660717
2021-03-29,Dept of Defense,1856112,1191364,664748
2021-03-30,Dept of Defense,1865972,1197277,668695
2021-03-31,Dept of Defense,1893899,1213941,679958
2021-04-01,Dept of Defense,1928217,1232692,695525
2021-04-02,Dept of Defense,1961636,1253369,708267
2021-04-03,Dept of Defense,2005874,1285683,720191
2021-04-04,Dept of Defense,2047232,1314577,732655
2021-04-05,Dept of Defense,2056983,1321279,735704
2021-04-06,Dept of Defense,2065264,1326748,738516
2021-04-07,Dept of Defense,2093443,1343481,749962
2021-04-08,Dept of Defense,2134710,1369209,765501
2021-04-09,Dept of Defense,2172951,1393544,779407
2021-04-10,Dept of Defense,2224184,1430366,793818
2021-04-11,Dept of Defense,2281542,1468618,812924
2021-04-12,Dept of Defense,2300963,1479397,821566
2021-04-13,Dept of Defense,2318859,1489045,829814
2021-04-14,Dept of Defense,2356876,1508083,848793
2021-04-15,Dept of Defense,2402785,1533348,869437
2021-04-16,Dept of Defense,2437795,1553206,884589
2021-04-17,Dept of Defense,2482543,1577813,904730
2021-04-18,Dept of Defense,2531892,1606946,924946
2021-04-19,Dept of Defense,2559223,1621218,938005
2021-04-20,Dept of Defense,2569217,1626059,943158
2021-04-21,Dept of Defense,2597385,1640776,956609
2021-04-22,Dept of Defense,2629788,1658674,971114
2021-04-23,Dept of Defense,2663011,1676759,986252
