date,state,total cases,total deaths,new cases,new deaths
2020-03-07,Missouri,1,0,1,0
2020-03-08,Missouri,1,0,0,0
2020-03-09,Missouri,1,0,0,0
2020-03-10,Missouri,1,0,0,0
2020-03-11,Missouri,1,0,0,0
2020-03-12,Missouri,2,0,1,0
2020-03-13,Missouri,4,0,2,0
2020-03-14,Missouri,5,0,1,0
2020-03-15,Missouri,5,0,0,0
2020-03-16,Missouri,9,0,4,0
2020-03-17,Missouri,16,0,7,0
2020-03-18,Missouri,21,1,5,1
2020-03-19,Missouri,35,1,14,0
2020-03-20,Missouri,73,3,38,2
2020-03-21,Missouri,93,3,20,0
2020-03-22,Missouri,130,3,37,0
2020-03-23,Missouri,183,4,53,1
2020-03-24,Missouri,255,5,72,1
2020-03-25,Missouri,384,8,129,3
2020-03-26,Missouri,508,8,124,0
2020-03-27,Missouri,670,9,162,1
2020-03-28,Missouri,837,11,167,2
2020-03-29,Missouri,902,12,65,1
2020-03-30,Missouri,1049,13,147,1
2020-03-31,Missouri,1350,15,301,2
2020-04-01,Missouri,1580,21,230,6
2020-04-02,Missouri,1834,28,254,7
2020-04-03,Missouri,2113,36,279,8
2020-04-04,Missouri,2291,44,178,8
2020-04-05,Missouri,2367,52,76,8
2020-04-06,Missouri,2722,56,355,4
2020-04-07,Missouri,3037,80,315,24
2020-04-08,Missouri,3327,86,290,6
2020-04-09,Missouri,3539,94,212,8
2020-04-10,Missouri,3799,105,260,11
2020-04-11,Missouri,4024,116,225,11
2020-04-12,Missouri,4160,116,136,0
2020-04-13,Missouri,4388,136,228,20
2020-04-14,Missouri,4686,151,298,15
2020-04-15,Missouri,4895,164,209,13
2020-04-16,Missouri,5111,170,216,6
2020-04-17,Missouri,5283,184,172,14
2020-04-18,Missouri,5517,194,234,10
2020-04-19,Missouri,5667,196,150,2
2020-04-20,Missouri,5807,201,140,5
2020-04-21,Missouri,5941,221,134,20
2020-04-22,Missouri,6137,236,196,15
2020-04-23,Missouri,6321,248,184,12
2020-04-24,Missouri,6625,267,304,19
2020-04-25,Missouri,6826,280,201,13
2020-04-26,Missouri,6997,282,171,2
2020-04-27,Missouri,7171,296,174,14
2020-04-28,Missouri,7306,324,135,28
2020-04-29,Missouri,7426,331,120,7
2020-04-30,Missouri,7563,341,137,10
2020-05-01,Missouri,7840,355,277,14
2020-05-02,Missouri,8154,373,314,18
2020-05-03,Missouri,8454,378,300,5
2020-05-04,Missouri,8776,387,322,9
2020-05-05,Missouri,8919,408,143,21
2020-05-06,Missouri,9164,429,245,21
2020-05-07,Missouri,9409,449,245,20
2020-05-08,Missouri,9573,481,164,32
2020-05-09,Missouri,9737,492,164,11
2020-05-10,Missouri,9906,502,169,10
2020-05-11,Missouri,10025,512,119,10
2020-05-12,Missouri,10124,528,99,16
2020-05-13,Missouri,10369,548,245,20
2020-05-14,Missouri,10490,564,121,16
2020-05-15,Missouri,10567,579,77,15
2020-05-16,Missouri,10794,593,227,14
2020-05-17,Missouri,11069,601,275,8
2020-05-18,Missouri,11225,609,156,8
2020-05-19,Missouri,11369,631,144,22
2020-05-20,Missouri,11510,643,141,12
2020-05-21,Missouri,11657,670,147,27
2020-05-22,Missouri,11797,680,140,10
2020-05-23,Missouri,11922,685,125,5
2020-05-24,Missouri,12114,689,192,4
2020-05-25,Missouri,12296,694,182,5
